,0,Predictions,Proba
5900,SsGNAc9U-aKPZccnaDtFkA,1,0.9994233846664429
707,sF8rL9XOz4v48YdTucaBGQ,1,0.9989123344421387
571,DttDhELFKdueDqFp45idHA,1,0.9988067150115967
2728,H2tGlQpFItqduWJc4VheUQ,1,0.9983207583427429
3673,pqkwR2me0LhEZulRcQpOuw,1,0.9981626868247986
4641,cBpJIOrVXotDI0XAZH_k0g,1,0.9978665709495544
4326,YZbDLZp0zhmgnIPflNZZfA,1,0.997730553150177
207,DttDhELFKdueDqFp45idHA,1,0.9977194666862488
1293,9NT8Ne1DICkv0ebX-gVK5g,1,0.9976586103439331
3350,E_TSzYjABEzD6DXsvjZnsg,1,0.9976119995117188
2863,ImVx220_Pcp2iB5uworODw,1,0.9974573254585266
4789,_ODHYjCmrb3W9hIGJI1uaA,1,0.9974203109741211
4512,83RLRT-MsvXQJrmIanqVYA,1,0.9973088502883911
5923,n-XTO7I2o2h06o-vyjtYfg,1,0.997281551361084
2369,dUi5Lg1Ay3HwK0p_ZaXNYg,1,0.9972354769706726
3243,Je396Ev-dvAvl3ei-O0EIg,1,0.9970384836196899
3332,1f0g466Geu4nDdJhYQ_Vhg,1,0.9969992637634277
412,Aenlydbbh9ieUGn7X-X1cw,1,0.9969552755355835
813,IC8no-tIdDWgkYzb5d-Nvw,1,0.996904194355011
422,WdcWkru51EErR9HqmfSqqw,1,0.9967472553253174
3918,YqcPBiZMeCjZFlJlA28zwQ,1,0.9967207312583923
5716,mhQCxOiqp03qnhGRTtPduw,1,0.9965068697929382
5569,Y8OPM6aiLoGEQc6OXhnR8A,1,0.9964141845703125
5588,8t1wJJ1iGsIFbNzPlwCMVA,1,0.9963873624801636
3264,I1A1dbIc-CtMyI_0RUIcJQ,1,0.9963377714157104
728,_TWT58PWunYIyPgpz1fuog,1,0.9962949156761169
5886,3CSaqRNvYg7ZdN2zwxwzVw,1,0.9962615370750427
3912,c1yGkETheht_1vjda7G5sA,1,0.9962211847305298
5965,UUssRgBCO_riWg3chbv9Zg,1,0.9962117671966553
1078,-yTdxWCadi8Kn1H05getKQ,1,0.9960519671440125
1673,APdrRZvoxc2Z86owaNj8Aw,1,0.9959903359413147
4708,QMN_F0PIReU6QbyEuGSYhg,1,0.9959887862205505
2940,bSFuJDDTj6BeKypgBNFBGg,1,0.9958494901657104
3187,1zDCfNgtfyh-Uw8j3JxhHA,1,0.9958224296569824
4827,KSKlspZY6FqTuYZvNbkecQ,1,0.9957515001296997
5,ZlmZKy8IYfExSP33WJflwQ,1,0.9957385063171387
7074,LeUNBYgQL3cERb4nsd7rVw,1,0.9957277774810791
4426,FbWwugp1EWRYBv76Wd3BEg,1,0.995725154876709
5891,75Gig-jWKlmMRJPsMCcqUw,1,0.9956151247024536
7336,rNMEy4XYJfRE2-d9Qr7n5g,1,0.9955114126205444
4495,PgcuQvFl76bx42xIFyhzVg,1,0.9954701662063599
5715,MXOdsPTLQPsQK9hUq01DWg,1,0.995387613773346
5305,beSNHSvR9kjE_5vXJ_tlfw,1,0.9952976107597351
3369,1_FS3rvpvgGEzr_SncSVpQ,1,0.9952935576438904
5163,JokKtdXU7zXHcr20Lrk29A,1,0.995246946811676
5228,jCOTob1avPH52RNuniylkg,1,0.9952282905578613
3000,7H0nbExftMZlpZDXm0QrBw,1,0.9952137470245361
4989,rDvz5jX65gpfONFu7er9Tw,1,0.9951285123825073
2747,tf5qrrarVIVYOy0evKrayA,1,0.9951254725456238
2572,C5rMLAVULLhHUwGrmFvd6A,1,0.9951026439666748
1864,lHr-aMBHh29zLpuB2ShAMQ,1,0.9949551224708557
3509,lCh00csEKpgRgSoZY32IvQ,1,0.9948785305023193
3403,jtzhY-P4H6WSYpv5rWhxtw,1,0.9948517680168152
5003,rhN7xg5XzvRKvdAXE9lBtA,1,0.9948188662528992
1597,oIkwj10HmUiognO68j7jOg,1,0.9947900772094727
5308,vWnlScr9y2F6_ctDJZ6XLg,1,0.994770348072052
298,Y5IwyffEF0MhRZxMheJ0pA,1,0.9947385191917419
3554,JRzrqJmsQ5AZ4bMQLUfyHg,1,0.9947132468223572
2649,xvXg-2LlqpEoycrvruR_nA,1,0.994629442691803
164,gIcIVPc9Cf4Ku6696Mf05A,1,0.9946091175079346
1764,4dB7kQ7qtTkW2v7DX38r_w,1,0.9946038126945496
5432,D0PUyt1EbOJKdLh636hwWw,1,0.9946017265319824
4255,u-VxYYupPzLHJph6XNUe2A,1,0.994563639163971
2133,2r8jGeuYvMkyP2ik_X-Bxw,1,0.9945479035377502
5259,lLt_fT0SdOEe8hHyGcoloA,1,0.994528591632843
4491,2atLDbC-U_UupPqpz2qYDQ,1,0.9945223331451416
3062,NHy-HT-FI305jqgyeIWPCQ,1,0.9944676160812378
4017,6TIaz7MG6qjX6ZaQe9cG2w,1,0.9944078922271729
2528,yxmvnNLJquL6EBBlBr1x_w,1,0.9944015145301819
943,utytgpoRER6uNVpPV_G9jw,1,0.9943607449531555
4575,Lcc6S4aMonFd69paDzMxcg,1,0.9943220615386963
912,wZwZcte4lcbu51NOzCjWbQ,1,0.9943021535873413
2143,FP9OWQ9hv3JBowBT9J0z_g,1,0.994253933429718
1282,iPxUYvC8tgt5rBr-IZlSeg,1,0.9942067861557007
3997,4oYMRD8vawSyXTdFl3-nPA,1,0.9941828846931458
5834,WiLwAI9MVfIEfD_a2snf2w,1,0.994175136089325
5956,jmquanz2qdn_IEgxmn0wsQ,1,0.993925154209137
5812,Btmq4WdwevpVWTPjhzf1YQ,1,0.9938904047012329
4143,bZivzFTkkjNtUBSuMhoCtg,1,0.993869423866272
4315,gEAB85-Zcm8Qs5JQPC_PHg,1,0.9938271641731262
3043,JN2qXIuDXnV2d8WnSqd28A,1,0.9937924742698669
5446,CwKyfU1JQRd3rHSYORG3hw,1,0.9937792420387268
3229,O7zS7fvyNcq91iFABSMudA,1,0.9937431216239929
1563,tc1kER4tWn3LI99Rk-NVZw,1,0.9936436414718628
1476,CvRGjwCsrQs1DYYL3z8R7g,1,0.993575394153595
221,NFoVdVCLmJ4InK4g6GYgKQ,1,0.9935221076011658
342,X-dpycbo5fy8AyoHCUCryA,1,0.9935044050216675
3888,yVQiGdxmnrkJDyQXv2maNA,1,0.9934972524642944
4478,LQ8xiZao4z6hn_l1qy6Jeg,1,0.9934903383255005
2213,tYOx9fHj6B6rmoNRdrAPFQ,1,0.9934731125831604
5730,BnbJTzFHzwC9qRTZa2pTHQ,1,0.9934641718864441
4194,G1ub1s3EELLrGWqrq3a2tw,1,0.9934226870536804
3950,Gy7ERh2GhmAYMZMO48ztBg,1,0.9933522939682007
5217,qGuI5WK7-MVnPA6o2DGBAA,1,0.9932592511177063
773,9Y3aQAVITkEJYe5vLZr13w,1,0.9932592511177063
4803,SgQYRICpMdWCmY7wM2Cmcw,1,0.9932592511177063
2829,DerMAlq9JZbqMuD0ZwbaSg,1,0.9930849075317383
1912,9HA1pB2y-pK4QtGdngBqhw,1,0.9930222630500793
3339,XMRj865sZBPWCI7tx0uBWw,1,0.9930176734924316
3146,r4AG1WXCRWkZKQctrcy9FA,1,0.992924690246582
301,khUAi7h8c57uHdliKrv5FA,1,0.9929231405258179
1602,WzmcJ-VYAV7fHS_fyPAOqw,1,0.9928681254386902
4944,yOpKODeyfVYj3rCDQP3VuA,1,0.9927899241447449
1080,dcoG-HYQEAgvFzcBtQb_yg,1,0.9927111864089966
643,mqLIvIVWmV00VWo3L5pj3Q,1,0.992682158946991
3589,mY3l0hqy2aayUWRjIYpBVA,1,0.992638349533081
511,-0HGqwlfw3I8nkJyMHxAsQ,1,0.9926268458366394
2467,zxqvU415r_RtZRKDtdbIKQ,1,0.9925999641418457
3848,EMGkbiCMfMTflQux-_JY7Q,1,0.992459237575531
4465,A3lInLxP3KOECWPjQO9k6A,1,0.9924404621124268
3473,mhQCxOiqp03qnhGRTtPduw,1,0.9924345016479492
3111,fmpEjlZhFlMHaGmsKJlUTg,1,0.992424488067627
2182,WGQtcKPzyjYXks4dVnFsNw,1,0.992396891117096
5333,1OA1jo0GlK9sf68f00w8ZQ,1,0.9923742413520813
3637,5tey93wPQOb7z6jOLJZ30w,1,0.9923275113105774
5134,vqwvB3D3PcYWTlZDbbFT6Q,1,0.992263674736023
5165,1HejWsAvJ7pg3n6hUCObmA,1,0.992252767086029
3478,B4gZkGO_MtZRXt20yyM-EA,1,0.992233395576477
4979,rE0-KhjcOQOWIaiybjsDZw,1,0.9921445250511169
950,eivj7F0pjWJvDeuKFExC2g,1,0.9921412467956543
982,CproIH-FXCeAA0CWKOF3wg,1,0.9921060800552368
2444,b7GM0x9zZU5gq1aXErUf7Q,1,0.992081880569458
